id,index,name,credit_amount,description,created_year,type,form,lecture_session,lecture_count,lecture_duration
course_1,FNDP100,"Гамшгаас хамгаалах менежментийн үндэс",1,,2010,"general basic","lecture only",1,8,90
course_2,PHYS100,"Юмс үзэгдлийн физик үндэс ",3,,2014,"general basic","lecture and seminar",1,16,90
course_3,PHYS102,"Физикийн үндэс ",3,,2014,"general basic","lecture and seminar",1,16,90
course_4,GEOG100,"Нийгмийн газарзүй ",3,,2014,"general basic","lecture and seminar",1,16,90
course_5,GEOG101,"Дэлхий cудлалын үндэс ",3,,2014,"general basic","lecture and seminar",1,16,90
course_6,BIOL100,"Молекул ба эсийн биологи ",3,,2014,"general basic","lecture and seminar",1,16,90
course_7,BIOL101,"Организм ба эволюцийн биологи ",3,,2014,"general basic","lecture and seminar",1,16,90
course_8,BIOL102,"Экологи ба тогтвортой байдал ",3,,2014,"general basic","lecture and seminar",1,16,90
course_9,CHEM100,"Хими ба амьдрал ",3,,2014,"general basic","lecture and seminar",1,16,90
course_10,CHEM101,"Байгалийг танин мэдэх химийн үндэс ",3,,2014,"general basic","lecture and seminar",1,16,90
course_11,PHYS101,"Физик ",3,,2014,"general basic","lecture and seminar",1,16,90
course_12,GEOP102,"Астрономийн үндэс ",3,,2017,"general basic","lecture and seminar",1,16,90
course_13,CLIM100,"Уур амьсгалын өөрчлөлт, түүнд дасан зохицохуй ",3,,2021,"general basic","lecture and seminar",1,16,90
course_14,MATH100,"Шугаман алгебр 1 ",3,,2023,"general basic","lecture and seminar",1,16,90
course_15,MATH102,"Нэг хувьсагчийн функцийн онол 1в ",3,,2014,"general basic","lecture and seminar",1,16,90
course_16,MATH101,"Нэг хувьсагчийн функцийн онол 1б ",3,,2023,"general basic","lecture and seminar",1,16,90
course_17,CULT100,"Соёл судлал ",3,,2014,"general basic","lecture and seminar",1,16,90
course_18,CULT101,"Урлагийн боловсрол ",3,,2014,"general basic","lecture and seminar",1,16,90
course_19,LITE100,"Уран зохиолын боловсрол ",3,,2014,"general basic","lecture and seminar",1,16,90
course_20,LITE101,"Монгол соёл иргэншил судлал ",3,,2014,"general basic","lecture and seminar",1,16,90
course_21,PUBL100,"Эрх зүйн үндэс ",3,,2014,"general basic","lecture and seminar",1,16,90
course_22,PUBL101,"Хүний эрх ",3,,2014,"general basic","lecture and seminar",1,16,90
