id,school_id/id,department_id/id,index,name,created_year,type,duration_years,description
program_1,school_4,,D041301,Бизнесийн удирдлага,2022,bachelor,4,
program_2,school_4,,D041301,Бизнесийн удирдлага,2021,bachelor,4,
program_3,school_4,,D041301,Бизнесийн удирдлага,2020,bachelor,4,
program_4,school_4,department_3,D041401,Маркетинг,2014,bachelor,4,
program_5,school_4,department_3,D041601,Худалдаа,2014,bachelor,4,
program_6,school_4,department_3,D041401,Маркетинг,2022,bachelor,4,
program_7,school_4,department_3,D041601,Худалдаа,2022,bachelor,4,
program_8,school_4,department_3,D041401,Маркетинг,2023,bachelor,4,
program_9,school_4,department_3,D041601,Худалдаа,2023,bachelor,4,
program_10,school_4,department_3,D041401,Маркетинг,2025,bachelor,4,
program_11,school_4,department_3,D041601,Худалдаа,2025,bachelor,4,
program_12,school_4,department_4,D041302,Менежмент,2014,bachelor,4,
program_13,school_4,department_4,D041304,Аялал жуулчлалын менежмент,2014,bachelor,4,
program_14,school_4,department_4,D101301,Зочлох үйлчилгээ,2014,bachelor,4,
program_15,school_4,department_4,D101301,Зочлох үйлчилгээ,2023,bachelor,4,
program_16,school_4,department_4,D041303,Менежмент,2023,bachelor,4,
program_17,school_4,department_4,D101301,Зочлох үйлчилгээ,2025,bachelor,4,
program_18,school_4,department_4,D041303,Менежмент,2025,bachelor,4,
program_19,school_4,department_1,D041101,Нягтлан бодох бүртгэл,2014,bachelor,4,
program_20,school_4,department_1,D041101,Нягтлан бодох бүртгэл,2022,bachelor,4,
program_21,school_4,department_1,D041101,Нягтлан бодох бүртгэл,2022,bachelor,4,
program_22,school_4,department_1,D041101,Нягтлан бодох бүртгэл,2021,bachelor,4,
program_23,school_4,department_1,D041101,Нягтлан бодох бүртгэл,2020,bachelor,4,
program_24,school_4,department_1,D041101,Нягтлан бодох бүртгэл,2023,bachelor,4,
program_25,school_4,department_1,D041101,Нягтлан бодох бүртгэл,2025,bachelor,4,
program_26,school_4,department_2,D041203,Банк,2017,bachelor,4,
program_27,school_4,department_2,D041201,Санхүү,2017,bachelor,4,
program_28,school_4,department_2,D041203,Банк,2018,bachelor,4,
program_29,school_4,department_2,D041202,Даатгал,2018,bachelor,4,
program_30,school_4,department_2,D041201,Санхүү,2018,bachelor,4,
program_31,school_4,department_2,D041201,Санхүү,2022,bachelor,4,
program_32,school_4,department_2,D041202,Даатгал,2023,bachelor,4,
program_33,school_4,department_2,D041201,Санхүү,2023,bachelor,4,
program_34,school_4,department_2,D041203,Банк,2023,bachelor,4,
program_35,school_4,department_2,D041201,"Санхүү, банк",2024,bachelor,4,
program_36,school_4,department_2,D041202,Даатгал,2025,bachelor,4,
program_37,school_4,department_2,D041201,"Санхүү, банк",2025,bachelor,4,
program_38,school_7,department_33,D071301,Сэргээгдэх эрчим хүч,2014,bachelor,4,
program_39,school_7,department_33,D071306,Цөмийн инженерчлэл,2014,bachelor,4,
program_40,school_7,department_33,D071306,Цөмийн инженерчлэл,2020,bachelor,4,
program_41,school_7,department_33,D071301,Сэргээгдэх эрчим хүч,2021,bachelor,4,
