id,room_no,type,max_capacity,school_id/id
room_4_1,1,classroom,30,school_4
room_4_101,101,classroom,30,school_4
room_4_109,109,classroom,30,school_4
room_4_112,112,classroom,30,school_4
room_4_118,118,classroom,30,school_4
room_4_119,119,classroom,30,school_4
room_4_122,122,classroom,30,school_4
room_4_204,204,classroom,30,school_4
room_4_205,205,classroom,30,school_4
room_4_206,206,classroom,30,school_4
room_4_210б,210б,classroom,30,school_4
room_4_211,211,classroom,30,school_4
room_4_216б,216б,classroom,30,school_4
room_4_220,220,classroom,30,school_4
room_4_221,221,classroom,30,school_4
room_4_301,301,classroom,30,school_4
room_4_303б,303б,classroom,30,school_4
room_4_304б,304б,classroom,30,school_4
room_4_305,305,classroom,30,school_4
room_4_306,306,classroom,30,school_4
room_4_307,307б,classroom,30,school_4
room_4_310а,310a,classroom,30,school_4
room_4_310б,310б,classroom,30,school_4
room_4_403,403,classroom,30,school_4
room_4_407,407,classroom,30,school_4
room_4_410,410,classroom,30,school_4
room_4_800,800,classroom,30,school_4
room_4_801,801,classroom,30,school_4
room_4_802,802,classroom,30,school_4
room_4_803,803,classroom,30,school_4
room_4_804,804,classroom,30,school_4
room_4_805,805,classroom,30,school_4
room_4_806,806,classroom,30,school_4
room_4_807,807,classroom,30,school_4
room_4_809,809,classroom,30,school_4
room_4_810,810,classroom,30,school_4
room_8_309,309,classroom,30,school_8
room_ub_130,130,classroom,30,school_ub
room_ub_224,224,classroom,30,school_ub
room_2_0,0,classroom,30,school_2
room_2_1,1,classroom,30,school_2
room_2_100,100,classroom,30,school_2
room_2_104,104,classroom,30,school_2
room_2_105,105,classroom,30,school_2
room_2_108,108,classroom,30,school_2
room_2_109,109,classroom,30,school_2
room_2_11,11,classroom,30,school_2
room_2_110,110,classroom,30,school_2
room_2_113,113,classroom,30,school_2
room_2_114,114,classroom,30,school_2
room_2_116,116,classroom,30,school_2
room_2_117,117,classroom,30,school_2
room_2_118,118,classroom,30,school_2
room_2_119,119,classroom,30,school_2
room_2_12,12,classroom,30,school_2
room_2_120,120,classroom,30,school_2
room_2_124,124,classroom,30,school_2
room_2_126,126,classroom,30,school_2
room_2_128,128,classroom,30,school_2
room_2_131,131,classroom,30,school_2
room_2_132,132,classroom,30,school_2
room_2_133,133,classroom,30,school_2
room_2_135,135,classroom,30,school_2
room_2_136в,136в,classroom,30,school_2
room_2_136г,136г,classroom,30,school_2
room_2_136е,136е,classroom,30,school_2
room_2_136з,136з,classroom,30,school_2
room_2_136к,136к,classroom,30,school_2
room_2_138а,138а,classroom,30,school_2
room_2_138в,138в,classroom,30,school_2
room_2_2,2,classroom,30,school_2
room_2_200,200,classroom,30,school_2
room_2_207,207,classroom,30,school_2
room_2_208,208,classroom,30,school_2
room_2_209,209,classroom,30,school_2
room_2_21,21,classroom,30,school_2
room_2_211,211,classroom,30,school_2
room_2_213A,213A,classroom,30,school_2
room_2_213Д,213Д,classroom,30,school_2
room_2_213Ж,213Ж,classroom,30,school_2
room_2_213З,213З,classroom,30,school_2
room_2_213И,213И,classroom,30,school_2
room_2_213Л,213Л,classroom,30,school_2
room_2_216,216,classroom,30,school_2
room_2_218,218,classroom,30,school_2
room_2_219,219,classroom,30,school_2
room_2_220,220,classroom,30,school_2
room_2_223,223,classroom,30,school_2
room_2_227,227,classroom,30,school_2
room_2_228,228,classroom,30,school_2
room_2_230,230,classroom,30,school_2
room_2_231,231,classroom,30,school_2
room_2_236,236,classroom,30,school_2
room_2_3,3,classroom,30,school_2
room_2_302,302,classroom,30,school_2
room_2_303,303,classroom,30,school_2
room_2_304,304,classroom,30,school_2
room_2_306,306,classroom,30,school_2
room_2_307a,307а,classroom,30,school_2
room_2_309,309,classroom,30,school_2
room_2_310,310,classroom,30,school_2
room_2_311,311,classroom,30,school_2
room_2_312,312,classroom,30,school_2
room_2_314,314,classroom,30,school_2
room_2_315,315,classroom,30,school_2
room_2_318,318,classroom,30,school_2
room_2_327,327,classroom,30,school_2
room_2_328,328,classroom,30,school_2
room_2_33,33,classroom,30,school_2
room_2_334,334,classroom,30,school_2
room_2_335,335,classroom,30,school_2
room_2_337,337,classroom,30,school_2
room_2_339,339,classroom,30,school_2
room_2_340,340,classroom,30,school_2
room_2_342,342,classroom,30,school_2
room_2_343,343,classroom,30,school_2
room_2_345,345,classroom,30,school_2
room_2_346,346,classroom,30,school_2
room_2_4,4,classroom,30,school_2
room_2_402,402,classroom,30,school_2
room_2_404,404,classroom,30,school_2
room_2_406,406,classroom,30,school_2
room_2_408,408,classroom,30,school_2
room_2_409,409,classroom,30,school_2
room_2_410,410,classroom,30,school_2
room_2_412,412,classroom,30,school_2
room_2_413,413,classroom,30,school_2
room_2_417,417,classroom,30,school_2
room_2_420,420,classroom,30,school_2
room_2_421,421,classroom,30,school_2
